symptoms,disease
"weakness,sore throat,chills",Malaria
"nausea,runny nose,weakness",Malaria
"muscle pain,body ache,shortness of breath",Malaria
"runny nose,headache,chills",Flu
"fever,vomiting,headache",Flu
"fever,headache,muscle pain",Flu
"headache,cough,muscle pain",Flu
"shortness of breath,cough,vomiting",COVID-19
"weakness,body ache,muscle pain",Malaria
"cough,shortness of breath,vomiting",COVID-19
"muscle pain,cough,vomiting",Malaria
"shortness of breath,muscle pain,nausea",COVID-19
"vomiting,muscle pain,headache",Flu
"shortness of breath,sore throat,muscle pain",COVID-19
"runny nose,sore throat,cough",COVID-19
"weakness,fever,cough",Malaria
"headache,vomiting,fever",Flu
"body ache,fever,cough",Malaria
"vomiting,runny nose,chills",Malaria
"body ache,runny nose,headache",Malaria
"runny nose,sore throat,headache",Flu
"fever,weakness,muscle pain",Flu
"headache,body ache,weakness",Malaria
"runny nose,weakness,shortness of breath",COVID-19
"shortness of breath,sore throat,weakness",COVID-19
"nausea,sore throat,weakness",Malaria
"runny nose,nausea,muscle pain",Flu
"body ache,fever,sore throat",Malaria
"runny nose,cough,muscle pain",COVID-19
"weakness,runny nose,body ache",Malaria
"vomiting,weakness,body ache",Malaria
"nausea,headache,sore throat",Flu
"nausea,headache,muscle pain",Flu
"nausea,chills,headache",Flu
"headache,weakness,chills",Flu
"body ache,shortness of breath,cough",COVID-19
"nausea,headache,cough",COVID-19
"sore throat,body ache,chills",Malaria
"fever,shortness of breath,muscle pain",Flu
"headache,shortness of breath,weakness",COVID-19
"cough,weakness,vomiting",Malaria
"muscle pain,weakness,fever",Flu
"shortness of breath,cough,chills",COVID-19
"fever,weakness,shortness of breath",COVID-19
"vomiting,cough,shortness of breath",COVID-19
"sore throat,cough,weakness",COVID-19
"shortness of breath,body ache,weakness",Malaria
"fever,vomiting,cough",Malaria
"chills,weakness,cough",Malaria
"chills,fever,vomiting",Flu
"muscle pain,chills,fever",Flu
"runny nose,sore throat,weakness",Malaria
"runny nose,body ache,vomiting",Malaria
"nausea,body ache,sore throat",Malaria
"body ache,nausea,shortness of breath",Malaria
"chills,nausea,weakness",Malaria
"fever,runny nose,vomiting",Malaria
"fever,headache,runny nose",Flu
"fever,chills,cough",Flu
"vomiting,cough,body ache",Malaria
"vomiting,muscle pain,shortness of breath",Malaria
"sore throat,cough,shortness of breath",COVID-19
"weakness,muscle pain,headache",Flu
"runny nose,nausea,body ache",Malaria
"runny nose,weakness,body ache",Malaria
"body ache,vomiting,weakness",Malaria
"chills,cough,shortness of breath",COVID-19
"runny nose,body ache,cough",Malaria
"cough,body ache,nausea",Malaria
"chills,sore throat,muscle pain",Flu
"sore throat,muscle pain,headache",Flu
"sore throat,weakness,headache",Malaria
"sore throat,muscle pain,nausea",Flu
"sore throat,cough,headache",COVID-19
"body ache,runny nose,shortness of breath",Malaria
"chills,vomiting,sore throat",Malaria
"fever,runny nose,muscle pain",Flu
"shortness of breath,body ache,sore throat",COVID-19
"shortness of breath,body ache,fever",COVID-19
"vomiting,nausea,body ache",Malaria
"fever,headache,vomiting",Flu
"shortness of breath,chills,fever",Flu
"sore throat,nausea,vomiting",Malaria
"vomiting,nausea,shortness of breath",Malaria
"weakness,sore throat,cough",Malaria
"muscle pain,weakness,vomiting",Malaria
"fever,muscle pain,runny nose",Flu
"vomiting,cough,chills",Malaria
"nausea,cough,vomiting",Malaria
"nausea,cough,shortness of breath",COVID-19
"vomiting,shortness of breath,cough",COVID-19
"vomiting,fever,body ache",Malaria
"weakness,body ache,cough",Malaria
"fever,weakness,nausea",Malaria
"muscle pain,shortness of breath,nausea",COVID-19
"fever,headache,weakness",Flu
"runny nose,chills,weakness",Malaria
"body ache,muscle pain,sore throat",Malaria
"headache,shortness of breath,chills",Flu
"vomiting,weakness,fever",Malaria
"runny nose,sore throat,body ache",Malaria
"shortness of breath,fever,nausea",COVID-19
"sore throat,cough,headache",COVID-19
"body ache,cough,vomiting",Malaria
"cough,weakness,sore throat",COVID-19
"chills,sore throat,weakness",Malaria
"body ache,runny nose,sore throat",Malaria
"chills,shortness of breath,muscle pain",Flu
"cough,shortness of breath,body ache",COVID-19
"shortness of breath,sore throat,body ache",COVID-19
"runny nose,sore throat,muscle pain",Flu
"weakness,muscle pain,cough",Malaria
"fever,vomiting,weakness",Malaria
"sore throat,body ache,vomiting",Malaria
"nausea,weakness,chills",Malaria
"weakness,shortness of breath,chills",COVID-19
"fever,shortness of breath,chills",Flu
"weakness,nausea,sore throat",Malaria
"chills,runny nose,vomiting",Allergy
"sore throat,vomiting,chills",Malaria
"body ache,fever,weakness",Malaria
"headache,muscle pain,cough",Flu
"muscle pain,chills,nausea",Flu
"shortness of breath,sore throat,muscle pain",COVID-19
"weakness,chills,nausea",Malaria
"nausea,fever,vomiting",Malaria
"headache,cough,runny nose",Allergy
"muscle pain,shortness of breath,nausea",COVID-19
"nausea,cough,fever",COVID-19
"fever,runny nose,headache",Flu
"shortness of breath,runny nose,chills",COVID-19
"runny nose,chills,cough",COVID-19
"cough,fever,chills",Flu
"chills,headache,vomiting",Flu
"vomiting,weakness,muscle pain",Malaria
"runny nose,fever,chills",Flu
"nausea,shortness of breath,weakness",Malaria
"vomiting,muscle pain,cough",Malaria
"runny nose,chills,weakness",Malaria
"shortness of breath,fever,sore throat",COVID-19
"runny nose,chills,vomiting",Malaria
"muscle pain,headache,nausea",Flu
"nausea,runny nose,vomiting",Malaria
"cough,weakness,muscle pain",COVID-19
"nausea,headache,shortness of breath",COVID-19
"body ache,weakness,muscle pain",Malaria
"fever,vomiting,nausea",Malaria
"body ache,muscle pain,nausea",Malaria
"chills,fever,shortness of breath",Flu
"fever,chills,nausea",Flu
"headache,fever,weakness",Flu
"runny nose,body ache,chills",Malaria
"muscle pain,headache,nausea",Flu
"chills,cough,muscle pain",Flu
"shortness of breath,headache,cough",COVID-19
"sore throat,body ache,vomiting",Malaria
"body ache,fever,vomiting",Malaria
"muscle pain,vomiting,weakness",Malaria
"headache,cough,fever",Flu
"cough,fever,runny nose",COVID-19
"muscle pain,nausea,vomiting",Malaria
"headache,vomiting,fever",Flu
"vomiting,sore throat,nausea",Malaria
"muscle pain,weakness,chills",Flu
"sore throat,muscle pain,fever",Flu
"sore throat,body ache,headache",Malaria
"body ache,shortness of breath,cough",COVID-19
"headache,sore throat,weakness",Malaria
"cough,chills,nausea",COVID-19
"nausea,body ache,muscle pain",Malaria
"fever,sore throat,chills",Flu
"body ache,nausea,cough",Malaria
"nausea,headache,shortness of breath",COVID-19
"body ache,headache,runny nose",Malaria
"body ache,weakness,headache",Malaria
"fever,shortness of breath,nausea",COVID-19
"weakness,sore throat,cough",Malaria
"weakness,muscle pain,headache",Flu
"weakness,muscle pain,body ache",Malaria
"muscle pain,shortness of breath,fever",Flu
"headache,shortness of breath,fever",Flu
"body ache,weakness,cough",Malaria
"fever,cough,runny nose",COVID-19
"muscle pain,sore throat,chills",Flu
"shortness of breath,headache,runny nose",COVID-19
"cough,weakness,sore throat",COVID-19
"vomiting,cough,muscle pain",Malaria
"muscle pain,nausea,sore throat",Flu
"muscle pain,cough,chills",Flu
"runny nose,headache,body ache",Flu
"nausea,headache,weakness",Malaria
"sore throat,cough,chills",COVID-19
"headache,muscle pain,fever",Flu
"cough,chills,muscle pain",Flu
"sore throat,chills,body ache",Malaria
"vomiting,nausea,weakness",Malaria
"chills,shortness of breath,cough",COVID-19
"sore throat,nausea,weakness",Malaria
"runny nose,headache,weakness",Flu
"body ache,weakness,chills",Malaria
"chills,shortness of breath,weakness",COVID-19
"runny nose,vomiting,nausea",Malaria
"chills,cough,shortness of breath",COVID-19
"runny nose,chills,vomiting",Malaria
"sore throat,vomiting,shortness of breath",Malaria
"fever,sore throat,headache",Flu
"body ache,fever,vomiting",Malaria
"muscle pain,fever,body ache",Flu
"weakness,vomiting,muscle pain",Malaria
"runny nose,muscle pain,vomiting",Malaria
"sore throat,body ache,nausea",Malaria
"body ache,fever,muscle pain",Flu
"muscle pain,body ache,weakness",Malaria
"headache,muscle pain,nausea",Flu
"chills,sore throat,fever",Flu
"fever,weakness,chills",Flu
"body ache,muscle pain,nausea",Malaria
"runny nose,shortness of breath,muscle pain",COVID-19
"muscle pain,body ache,runny nose",Malaria
"muscle pain,runny nose,cough",Flu
"sore throat,headache,vomiting",Malaria
"headache,muscle pain,body ache",Flu
"vomiting,sore throat,cough",Malaria
"fever,sore throat,body ache",Malaria
"body ache,sore throat,runny nose",Malaria
"vomiting,runny nose,shortness of breath",Malaria
"vomiting,weakness,body ache",Malaria
"chills,sore throat,fever",Flu
"muscle pain,chills,vomiting",Flu
"chills,fever,shortness of breath",Flu
"fever,runny nose,vomiting",Malaria
"weakness,headache,fever",Flu
"vomiting,weakness,cough",Malaria
"body ache,chills,fever",Flu
"body ache,runny nose,cough",Malaria
"muscle pain,chills,nausea",Flu
"runny nose,vomiting,sore throat",Malaria
"fever,chills,headache",Flu
"body ache,shortness of breath,weakness",Malaria
"vomiting,headache,body ache",Malaria
"nausea,runny nose,vomiting",Malaria
"muscle pain,headache,body ache",Flu
"shortness of breath,body ache,nausea",Malaria
"muscle pain,fever,sore throat",Flu
"muscle pain,sore throat,fever",Flu
"vomiting,shortness of breath,fever",Malaria
"weakness,cough,sore throat",Malaria
"shortness of breath,chills,vomiting",COVID-19
"chills,body ache,runny nose",Malaria
"chills,cough,sore throat",COVID-19
"sore throat,fever,headache",Flu
"shortness of breath,sore throat,weakness",COVID-19
"nausea,sore throat,vomiting",Malaria
"nausea,runny nose,chills",Flu
"chills,shortness of breath,cough",COVID-19
"chills,runny nose,body ache",Allergy
"nausea,cough,body ache",Malaria
"cough,chills,body ache",Malaria
"sore throat,muscle pain,cough",Flu
"shortness of breath,cough,vomiting",COVID-19
"chills,weakness,runny nose",Allergy
"sore throat,chills,shortness of breath",COVID-19
"muscle pain,weakness,sore throat",Flu
"vomiting,sore throat,nausea",Malaria
"shortness of breath,headache,nausea",COVID-19
"muscle pain,weakness,runny nose",Flu
"nausea,weakness,headache",Malaria
"chills,weakness,sore throat",Malaria
"chills,weakness,nausea",Malaria
"vomiting,fever,sore throat",Malaria
"body ache,shortness of breath,weakness",Malaria
"muscle pain,chills,cough",Flu
"fever,chills,nausea",Flu
"body ache,chills,cough",Malaria
"chills,muscle pain,cough",Flu
"weakness,chills,vomiting",Malaria
"shortness of breath,body ache,nausea",Malaria
"vomiting,shortness of breath,chills",Malaria
"muscle pain,weakness,shortness of breath",COVID-19
"shortness of breath,fever,body ache",COVID-19
"weakness,runny nose,fever",Malaria
"headache,muscle pain,chills",Flu
"sore throat,headache,cough",COVID-19
"shortness of breath,nausea,muscle pain",COVID-19
"runny nose,sore throat,muscle pain",Flu
"weakness,nausea,muscle pain",Malaria
"chills,fever,muscle pain",Flu
"sore throat,nausea,weakness",Malaria
"weakness,sore throat,nausea",Malaria
"muscle pain,nausea,chills",Flu
"shortness of breath,runny nose,chills",COVID-19
"shortness of breath,sore throat,cough",COVID-19
"weakness,sore throat,fever",Malaria
"chills,cough,sore throat",COVID-19
"muscle pain,body ache,shortness of breath",Malaria
"sore throat,shortness of breath,fever",COVID-19
"shortness of breath,body ache,runny nose",COVID-19
"weakness,fever,cough",Malaria
"headache,runny nose,sore throat",Allergy
"fever,sore throat,nausea",Cold
"chills,body ache,sore throat",Malaria
"nausea,cough,body ache",Malaria
"nausea,sore throat,shortness of breath",COVID-19
"muscle pain,cough,nausea",Flu
"nausea,sore throat,runny nose",Allergy
"cough,weakness,fever",COVID-19
"cough,weakness,chills",COVID-19
"muscle pain,headache,body ache",Flu
"cough,muscle pain,headache",Flu
"runny nose,shortness of breath,cough",COVID-19
"muscle pain,cough,body ache",Malaria
"runny nose,sore throat,muscle pain",Flu
"weakness,fever,cough",Malaria
"cough,sore throat,vomiting",Malaria
"shortness of breath,sore throat,chills",COVID-19
"shortness of breath,sore throat,cough",COVID-19
"fever,headache,body ache",Flu
"vomiting,fever,chills",Flu
"sore throat,body ache,shortness of breath",Malaria
"runny nose,headache,nausea",Flu
"nausea,body ache,vomiting",Malaria
"nausea,fever,weakness",Malaria
"fever,shortness of breath,weakness",COVID-19
"cough,headache,shortness of breath",COVID-19
"muscle pain,weakness,fever",Flu
"runny nose,headache,shortness of breath",Flu
"body ache,shortness of breath,sore throat",Malaria
"nausea,chills,body ache",Malaria
"runny nose,chills,body ache",Malaria
"vomiting,runny nose,shortness of breath",Malaria
"cough,nausea,vomiting",Malaria
"muscle pain,body ache,cough",Malaria
"nausea,muscle pain,weakness",Malaria
"chills,vomiting,nausea",Malaria
"shortness of breath,vomiting,runny nose",COVID-19
"nausea,runny nose,fever",Allergy
"sore throat,vomiting,runny nose",Malaria
"shortness of breath,weakness,sore throat",COVID-19
"runny nose,body ache,headache",Malaria
"fever,headache,body ache",Flu
"body ache,cough,runny nose",Malaria
"vomiting,headache,chills",Flu
"chills,muscle pain,nausea",Flu
"sore throat,body ache,runny nose",Malaria
"runny nose,muscle pain,sore throat",Flu
"muscle pain,runny nose,cough",Flu
"nausea,cough,runny nose",COVID-19
"weakness,runny nose,muscle pain",Malaria
"body ache,muscle pain,vomiting",Malaria
"weakness,cough,chills",Malaria
"weakness,fever,vomiting",Malaria
"vomiting,nausea,headache",Malaria
"chills,nausea,shortness of breath",COVID-19
"nausea,body ache,shortness of breath",Malaria
"chills,nausea,shortness of breath",COVID-19
"sore throat,fever,vomiting",Malaria
"body ache,cough,chills",Malaria
"body ache,muscle pain,cough",Malaria
"headache,sore throat,body ache",Malaria
"vomiting,fever,weakness",Malaria
"weakness,runny nose,body ache",Malaria
"cough,headache,body ache",Malaria
"vomiting,headache,chills",Flu
"runny nose,muscle pain,vomiting",Malaria
"muscle pain,cough,shortness of breath",COVID-19
"muscle pain,runny nose,shortness of breath",COVID-19
"cough,chills,runny nose",Allergy
"body ache,weakness,cough",Malaria
"runny nose,vomiting,nausea",Malaria
"shortness of breath,body ache,vomiting",Malaria
"headache,body ache,vomiting",Malaria
"shortness of breath,fever,sore throat",COVID-19
"sore throat,weakness,fever",Malaria
"runny nose,cough,chills",COVID-19
"headache,shortness of breath,chills",Flu
"sore throat,chills,weakness",Malaria
"nausea,sore throat,shortness of breath",COVID-19
"shortness of breath,fever,muscle pain",Flu
"sore throat,body ache,weakness",Malaria
"runny nose,chills,nausea",Flu
"shortness of breath,muscle pain,headache",Flu
"sore throat,cough,body ache",Malaria
"sore throat,fever,vomiting",Malaria
"vomiting,weakness,chills",Malaria
"nausea,weakness,runny nose",Malaria
"body ache,vomiting,headache",Malaria
"runny nose,sore throat,muscle pain",Flu
"chills,muscle pain,shortness of breath",Flu
"runny nose,sore throat,body ache",Malaria
"muscle pain,cough,runny nose",Flu
"fever,runny nose,headache",Flu
"shortness of breath,headache,muscle pain",Flu
"body ache,runny nose,headache",Malaria
"headache,nausea,weakness",Malaria
"fever,vomiting,cough",Malaria
"vomiting,weakness,shortness of breath",Malaria
"chills,cough,runny nose",Allergy
"muscle pain,headache,fever",Flu
"shortness of breath,body ache,vomiting",Malaria
"runny nose,body ache,nausea",Malaria
"runny nose,headache,fever",Flu
"body ache,nausea,cough",Malaria
"sore throat,weakness,runny nose",Malaria
"fever,muscle pain,cough",Flu
"sore throat,cough,runny nose",COVID-19
"body ache,cough,fever",Malaria
"nausea,runny nose,muscle pain",Flu
"chills,shortness of breath,vomiting",COVID-19
"muscle pain,vomiting,headache",Flu
"sore throat,runny nose,muscle pain",Flu
"shortness of breath,body ache,weakness",Malaria
"vomiting,nausea,weakness",Malaria
"muscle pain,chills,headache",Flu
"fever,sore throat,chills",Flu
"muscle pain,nausea,runny nose",Flu
"sore throat,body ache,headache",Malaria
"headache,shortness of breath,fever",Flu
"body ache,shortness of breath,cough",COVID-19
"fever,body ache,runny nose",Malaria
"shortness of breath,chills,body ache",COVID-19
"muscle pain,fever,runny nose",Flu
"sore throat,fever,vomiting",Malaria
"headache,nausea,runny nose",Allergy
"shortness of breath,runny nose,muscle pain",COVID-19
"chills,body ache,runny nose",Malaria
"cough,headache,runny nose",Allergy
"vomiting,cough,body ache",Malaria
"runny nose,cough,fever",COVID-19
